CURP,ID_SUCURSAL,ID_TURNO,ID_ESTATUS,ID_PUESTO,NOMBRE,APELLIDO_PAT,APELLIDO_MAT,SEXO,FECHA_NACIMIENTO,DIA_INGRESO,MES_INGRESO,ANO_INGRESO,RFC,NSS
PAME910207FSLWCN51,7,789,411,14,Enid,Pawellek,McIlwraith,Female,2/7/1991,21,6,2013,PAME910207SL5,781-21-1290
ANQS780903FQTDUA20,4,140,534,6,Sacha,Andrews,Quilleash,Female,9/3/1978,14,2,2013,ANQS780903QT2,742-41-7866
BRBL860509FJCOAY25,11,430,292,3,Lynnell,Browell,Baly,Female,5/9/1986,27,12,2017,BRBL860509JC2,606-32-3240
BABG810617FHGUIA28,10,949,263,4,Gaynor,Bausmann,Bindon,Female,6/17/1981,11,3,2001,BABG810617HG2,284-55-3521
GLGL840412FNLAOO81,4,112,317,14,Lorita,Glasspool,Goldthorp,Female,4/12/1984,11,4,1995,GLGL840412NL8,541-46-4765
FESJ871216MBCRHE05,12,748,845,10,Jeddy,Ferneyhough,Shimoni,Male,12/16/1987,20,11,1997,FESJ871216BC0,712-21-0159
KEEC990619MQTHDO55,2,6,566,2,Conroy,Kehoe,Edwicke,Male,6/19/1999,9,8,2001,KEEC990619QT5,146-58-3673
MAWA931112FCHRAB49,8,824,334,12,Abby,Martin,Warden,Female,11/12/1993,6,4,2018,MAWA931112CH4,265-02-4663
PRGL701222FMCIII62,18,558,705,6,Livvie,Pritchard,Gibbens,Female,12/22/1970,17,7,2002,PRGL701222MC6,706-49-5308
INTL800217FSLKIE81,6,705,60,15,Lena,Inkle,Ticic,Female,2/17/1980,8,10,2008,INTL800217SL8,216-08-9809
SHCJ990110FCHAAU13,13,966,501,12,Julissa,Shallo,Casetti,Female,1/10/1999,3,1,2022,SHCJ990110CH1,857-42-5229
BUBM970516FOCMRE84,17,178,373,15,Melicent,Bumphrey,Branston,Female,5/16/1997,30,3,1996,BUBM970516OC8,664-48-7927
AYBK761021GPLCRA42,16,140,229,15,Katusha,Ayce,Brammall,Genderqueer,10/21/1976,5,6,2013,AYBK761021PL4,183-91-3450
DOEB820928MDFMNE22,9,315,779,13,Berkie,Dominetti,Enrdigo,Male,9/28/1982,24,9,1993,DOEB820928DF2,357-07-0871
GAVF891225FTSDIR46,6,907,675,13,Frederica,Gadman,Vina,Female,12/25/1989,12,2,2008,GAVF891225TS4,232-63-2985
GIHN980222MCMLAI09,6,377,967,3,Nichols,Gilder,Hazael,Male,2/22/1998,19,9,1994,GIHN980222CM0,364-15-1937
KABH790308MBSROA03,7,8,876,13,Hansiain,Karchowski,Boddie,Male,3/8/1979,25,9,2004,KABH790308BS0,774-25-6993
HUPF751231FCMNAE48,14,637,23,8,Federica,Hunsworth,Pavitt,Female,12/31/1975,16,10,1995,HUPF751231CM4,607-60-0435
COMM900506FTSCOA03,12,534,171,4,Maribelle,Cocklie,Moreside,Female,5/6/1990,7,6,2016,COMM900506TS0,261-38-3522
DABR930520MPLRIA38,13,23,443,15,Rad,Darlison,Biskupek,Male,5/20/1993,26,4,2010,DABR930520PL3,644-96-0017
SHSS960626FGRECI13,20,336,480,14,Simone,Sherman,Scarfe,Female,6/26/1996,28,10,2019,SHSS960626GR1,336-98-8944
MCAO920101FHGCCL03,4,464,337,5,Olva,McCumesky,Acomb,Female,1/1/1992,14,5,2017,MCAO920101HG0,271-20-2385
ALMA830409MSRMAL39,17,39,830,2,Aldridge,Almeida,Marritt,Male,4/9/1983,11,9,2017,ALMA830409SR3,701-46-5414
ROSE760109MASWUR22,12,457,231,7,Erick,Rowles,Sutheran,Male,1/9/1976,19,7,2018,ROSE760109AS2,219-63-5970
EBHL720222MCLBAA97,9,284,628,6,Laurent,Ebbetts,Hatherall,Male,2/22/1972,15,8,1998,EBHL720222CL9,372-48-5521
RYHB770516PCCAEE69,12,643,765,13,Berne,Ryal,Heaford,Polygender,5/16/1977,13,5,1995,RYHB770516CC6,549-75-3631
CHRH921025MTLEOA42,19,559,894,7,Hazlett,Cheng,Robert,Male,10/25/1992,25,8,2000,CHRH921025TL4,713-86-8664
VEEH800225MCSRRU48,5,422,232,1,Hube,Verdun,Eronie,Male,2/25/1980,16,11,2001,VEEH800225CS4,354-39-2161
VASM801119AHGNLA39,5,689,124,5,Mara,Vaneschi,Slorach,Agender,11/19/1980,2,8,2012,VASM801119HG3,513-96-0662
HEMD820611MGTAEU67,17,650,407,12,Durand,Heaseman,Melhuish,Male,6/11/1982,9,12,2012,HEMD820611GT6,634-07-6800
