ID_TICKET,ID_CAJA,CURP,ID_SUCURSAL,FECHA,HORA,CLIENTE,NO_PRODUCTOS,TIPO_PAGO,TOTAL_COMPRA
110,33,KABH790308MBSROA03,7,1/14/2015,01:26,Cliente0065,17,tarjeta,389
166,71,PAME910207FSLWCN51,7,6/17/2012,08:40,Cliente0066,18,efectivo,264
297,4,DISG740707FSLLWW28,8,05/04/2012,11:04,Cliente0067,2,tarjeta,100
810,74,KUWS910402NNLBEI94,1,6/19/2016,17:24,Cliente0068,6,efectivo,335
576,76,KRSH740910NOCYIO87,10,12/07/2013,03:27,Cliente0069,8,tarjeta,200
935,92,CACH800731MMSZLE85,11,5/18/2016,23:21,Cliente0070,7,efectivo,147
441,30,PACA700821FGTULN20,1,04/04/2014,04:26,Cliente0071,12,tarjeta,292
972,65,HUVR861220MTCGEO09,13,11/14/2015,19:32,Cliente0072,5,efectivo,94
370,57,FAJJ841022MBSLAU69,14,6/27/2012,20:28,Cliente0073,7,tarjeta,336
893,19,THFT841224MQROII59,8,11/29/2011,02:13,Cliente0074,4,efectivo,32
994,25,AYBK761021GPLCRA42,16,7/16/2011,03:29,Cliente0075,9,tarjeta,13.5
234,39,ALMA830409MSRMAL39,17,4/24/2012,01:01,Cliente0076,10,efectivo,261
730,31,KLAL900916FDGEIE04,10,01/06/2014,00:22,Cliente0077,18,tarjeta,236
823,41,CHRH921025MTLEOA42,19,3/25/2011,12:00,Cliente0078,12,efectivo,345
550,67,MASA790911FCLXEU22,20,05/12/2016,19:43,Cliente0079,1,tarjeta,8
236,16,PACA700821FGTULN20,1,5/31/2016,15:35,Cliente0080,3,efectivo,63
246,33,KEEC990619MQTHDO55,2,02/03/2017,03:45,Cliente0081,16,tarjeta,156
663,98,VEMC760926FQRNAA13,14,9/15/2018,19:16,Cliente0082,9,efectivo,114
493,90,CRPA890528MPLAHU58,4,5/25/2020,17:19,Cliente0083,6,tarjeta,150
599,53,VASM801119AHGNLA39,5,1/31/2015,11:12,Cliente0084,11,efectivo,145
764,91,HERS800926FCHBUT83,8,1/17/2014,22:15,Cliente0085,22,tarjeta,578
518,27,PAME910207FSLWCN51,7,3/26/2011,10:32,Cliente0086,11,efectivo,850
424,57,HERS800926FCHBUT83,8,09/06/2018,08:49,Cliente0087,8,tarjeta,317.5
712,29,VEEH800225MCSRRU48,5,12/06/2012,07:27,Cliente0088,12,efectivo,246
904,15,KRSH740910NOCYIO87,10,07/04/2017,10:03,Cliente0089,15,tarjeta,719
614,79,BRBL860509FJCOAY25,11,07/05/2015,21:25,Cliente0090,10,efectivo,170
336,50,VASM801119AHGNLA39,5,10/25/2016,08:30,Cliente0091,8,tarjeta,160
922,87,SHCJ990110FCHAAU13,13,05/07/2012,15:17,Cliente0092,3,efectivo,105
225,22,HUPF751231FCMNAE48,14,10/22/2013,06:42,Cliente0093,5,tarjeta,75
556,37,KEEC990619MQTHDO55,2,1/13/2019,20:24,Cliente0094,9,efectivo,145
395,29,AYBK761021GPLCRA42,16,10/28/2015,20:09,Cliente0095,4,tarjeta,60
272,37,ALMA830409MSRMAL39,17,4/16/2015,22:16,Cliente0096,8,efectivo,64
442,72,DUUS830112FTSIRT54,1,9/13/2013,18:01,Cliente0097,8,tarjeta,154
892,88,CHRH921025MTLEOA42,19,9/26/2012,09:51,Cliente0098,4,efectivo,60
347,92,GIWG820104FNLLAE76,20,11/29/2019,17:19,Cliente0099,11,tarjeta,189
906,8,DACK761125FBSRUI38,1,8/24/2019,06:38,Cliente0100,7,efectivo,245
145,14,KEEC990619MQTHDO55,2,04/04/2019,20:37,Cliente0101,7,tarjeta,175
557,3,GIWG820104FNLLAE76,20,7/17/2015,00:57,Cliente0102,25,efectivo,862
817,90,LIMD721115MJCMIO09,4,10/08/2014,00:52,Cliente0103,5,tarjeta,346
746,42,VASM801119AHGNLA39,5,6/28/2019,02:39,Cliente0104,8,efectivo,135
962,53,DABR930520MPLRIA38,13,3/22/2014,08:39,Cliente0105,9,tarjeta,135
327,20,PAME910207FSLWCN51,7,5/20/2017,05:58,Cliente0106,5,efectivo,75
173,63,CEPY851026FNTSRO85,8,02/06/2014,00:04,Cliente0107,25,tarjeta,956
172,50,BABG810617FHGUIA28,10,12/25/2011,18:58,Cliente0108,13,efectivo,420
116,94,BABG810617FHGUIA28,10,2/23/2012,18:26,Cliente0109,9,tarjeta,108
767,20,CACH800731MMSZLE85,11,8/22/2016,22:48,Cliente0110,11,efectivo,275
714,28,VEEH800225MCSRRU48,5,8/16/2016,16:16,Cliente0111,10,tarjeta,186
